feature,mean_abs_phi
Relationship.with.the.newbornVery.good,0.0011978822832385658
Relax.sleep.when.newborn.is.tendedYes,0.0013743359571469068
Relax.sleep.when.the.newborn.is.asleepYes,0.0021213773074719375
ResidenceCity,0.0024418323969792014
ResidenceVillage,0
Total.childrenMore.than.Two,1.0148760431097779e-4
Total.childrenOne,0.004250809693300976
Total.childrenTwo,0.0017089378121737519
Trust.and.share.feelingsYes,0.001662198234539573
Worry.about.newbornYes,0.0014506689599057042
abuse_any,0
education_groupHigh.School,0
education_groupHigh.school,0
education_groupNone,0
education_groupPrimary.School,0
education_groupPrimary.school,0
education_groupUniversity,0
ipv_groupNone,0
ipv_groupYes,0
residence_groupVillage,0
sr,0.002925536351734832
