family,model,auc_app,auc_corrected,auc_lo,auc_hi,brier_app,brier_corrected,brier_lo,brier_hi,cal_int_app,cal_intercept_corrected,cal_int_lo,cal_int_hi,cal_slope_app,cal_slope_corrected,cal_slope_lo,cal_slope_hi
ElasticNet,A,0.6016397817012815,0.5974239988818227,0.5746510460676371,0.6016397817012815,0.23659629614844818,0.23791457816703387,0.23367082033961273,0.24062187535885068,2.5371218068774796e-9,0.0010184957644767667,-0.016322279212400943,0.020003610789809254,2.341033181489023,2.235308701228538,1.267488266249221,3.8292695038041864
ElasticNet,B,0.6659985133323592,0.6490427035749909,0.6409446692799827,0.6669546820500766,0.22693884323170882,0.2306547189370237,0.22306494103943528,0.2316397639061531,1.4255854134075172e-9,-3.12225956785815e-4,-0.03199967380783289,0.029448094399395736,1.9308707670733636,1.7089157501649432,1.2303623306534612,2.4322629326776415
ElasticNet,C,0.7421203438395415,0.7202428700309405,0.716481680315631,0.7401802902178539,0.20816165131110215,0.21415425696025497,0.20445934614717856,0.21577023884472146,-6.289434310131206e-10,-0.0024016169027528964,-0.046560545865169625,0.046490082809048185,1.8116794363774673,1.6294462542682306,1.1742493932334228,2.1023278079229617
ElasticNet,D,0.8156690957375841,0.7905415377480162,0.7968487728638682,0.81807984802953,0.17763413074278359,0.18737328178340268,0.1734458535645615,0.1843071735298451,-3.041119308035152e-8,3.3802026912197337e-4,-0.06987719908630381,0.06898273251622018,1.5755172616471491,1.387925577595522,1.1432627903418415,1.7802468575741028
XGBoost(Platt),D,0.8565048062567107,NA,0.8930028145032688,0.9208715589044403,0.15201633949175392,NA,0.10985568243235376,0.13765801444875161,-3.275207172050827e-14,NA,-0.6313145219675963,0.6306625469023733,0.9999999999999978,NA,0.24896723920410666,0.5064409332458872
