threshold,model,net_benefit
0.2,ElasticNet C,0.295
0.2,ElasticNet D,0.31062500000000004
0.2,XGBoost D (Platt),0.3375
0.2,Treat all,0.29531250000000003
0.2,Treat none,0
0.21000000000000002,ElasticNet A,0.28639240506329117
0.21000000000000002,ElasticNet B,0.28639240506329117
0.21000000000000002,ElasticNet C,0.2857120253164557
0.21000000000000002,ElasticNet D,0.3043670886075949
0.21000000000000002,XGBoost D (Platt),0.3320569620253165
0.21000000000000002,Treat all,0.28639240506329117
0.21000000000000002,Treat none,0
0.22000000000000003,ElasticNet A,0.27724358974358976
0.22000000000000003,ElasticNet B,0.27724358974358976
0.22000000000000003,ElasticNet C,0.2803525641025641
0.22000000000000003,ElasticNet D,0.2986858974358974
0.22000000000000003,XGBoost D (Platt),0.32916666666666666
0.22000000000000003,Treat all,0.27724358974358976
0.22000000000000003,Treat none,0
0.22999999999999998,ElasticNet A,0.2678571428571429
0.22999999999999998,ElasticNet B,0.2678571428571429
0.22999999999999998,ElasticNet C,0.27280844155844153
0.22999999999999998,ElasticNet D,0.2957792207792208
0.22999999999999998,XGBoost D (Platt),0.31795454545454543
0.22999999999999998,Treat all,0.2678571428571429
0.22999999999999998,Treat none,0
0.24,ElasticNet A,0.2582236842105263
0.24,ElasticNet B,0.2582236842105263
0.24,ElasticNet C,0.26421052631578945
0.24,ElasticNet D,0.29059210526315793
0.24,XGBoost D (Platt),0.3147368421052632
0.24,Treat all,0.2582236842105263
0.24,Treat none,0
0.25,ElasticNet A,0.24833333333333338
0.25,ElasticNet B,0.24833333333333338
0.25,ElasticNet C,0.25583333333333336
0.25,ElasticNet D,0.28541666666666665
0.25,XGBoost D (Platt),0.31083333333333335
0.25,Treat all,0.24833333333333338
0.25,Treat none,0
0.26,ElasticNet A,0.2381756756756757
0.26,ElasticNet B,0.24239864864864866
0.26,ElasticNet C,0.25094594594594594
0.26,ElasticNet D,0.2818243243243243
0.26,XGBoost D (Platt),0.30594594594594593
0.26,Treat all,0.2381756756756757
0.26,Treat none,0
0.27,ElasticNet A,0.22773972602739728
0.27,ElasticNet B,0.2324486301369863
0.27,ElasticNet C,0.24676369863013697
0.27,ElasticNet D,0.273972602739726
0.27,XGBoost D (Platt),0.3019178082191781
0.27,Treat all,0.22773972602739728
0.27,Treat none,0
0.28,ElasticNet A,0.2170138888888889
0.28,ElasticNet B,0.2222222222222222
0.28,ElasticNet C,0.23708333333333328
0.28,ElasticNet D,0.2689583333333333
0.28,XGBoost D (Platt),0.3005555555555555
0.28,Treat all,0.2170138888888889
0.28,Treat none,0
0.29,ElasticNet A,0.20598591549295778
0.29,ElasticNet B,0.21170774647887328
0.29,ElasticNet C,0.23119718309859152
0.29,ElasticNet D,0.26758802816901406
0.29,XGBoost D (Platt),0.29382042253521123
0.29,Treat all,0.20598591549295778
0.29,Treat none,0
0.3,ElasticNet A,0.19464285714285717
0.3,ElasticNet B,0.20678571428571427
0.3,ElasticNet C,0.22232142857142853
0.3,ElasticNet D,0.26053571428571426
0.3,XGBoost D (Platt),0.2923214285714286
0.3,Treat all,0.19464285714285717
0.3,Treat none,0
0.31,ElasticNet A,0.18297101449275366
0.31,ElasticNet B,0.20471014492753617
0.31,ElasticNet C,0.21387681159420285
0.31,ElasticNet D,0.25789855072463763
0.31,XGBoost D (Platt),0.2886956521739131
0.31,Treat all,0.18297101449275366
0.31,Treat none,0
0.32,ElasticNet A,0.17095588235294118
0.32,ElasticNet B,0.19485294117647053
0.32,ElasticNet C,0.20948529411764705
0.32,ElasticNet D,0.25625
0.32,XGBoost D (Platt),0.28654411764705884
0.32,Treat all,0.17095588235294118
0.32,Treat none,0
0.33,ElasticNet A,0.1585820895522388
0.33,ElasticNet B,0.18343283582089545
0.33,ElasticNet C,0.21080223880597013
0.33,ElasticNet D,0.25259328358208955
0.33,XGBoost D (Platt),0.2825559701492537
0.33,Treat all,0.1585820895522388
0.33,Treat none,0
0.33999999999999997,ElasticNet A,0.14583333333333343
0.33999999999999997,ElasticNet B,0.17303030303030306
0.33999999999999997,ElasticNet C,0.20791666666666672
0.33999999999999997,ElasticNet D,0.24431818181818188
0.33999999999999997,XGBoost D (Platt),0.2818560606060606
0.33999999999999997,Treat all,0.14583333333333343
0.33999999999999997,Treat none,0
0.35,ElasticNet A,0.13269230769230772
0.35,ElasticNet B,0.16769230769230767
