target_prop,n_target,frac_pop_targeted,cases_in_target,frac_cases_in_target,policy_id,policy_label,prevented_cases,prevented_pct_all_cases,scenario_id
0.2,162,0.20275344180225283,161,0.46131805157593125,ipvelim,IPV elimination (RR = 1.80),26.55670103092784,0.0760936992290196,lasso
0.25,201,0.25156445556946183,200,0.5730659025787965,ipvelim,IPV elimination (RR = 1.80),34.83976992604767,0.09982742099154061,lasso
0.3,244,0.3053817271589487,243,0.6962750716332379,ipvelim,IPV elimination (RR = 1.80),44.831550802139006,0.1284571656221748,lasso
0.35000000000000003,283,0.3541927409261577,282,0.8080229226361032,ipvelim,IPV elimination (RR = 1.80),55.66420873511063,0.1594963001006035,lasso
0.4,321,0.40175219023779724,320,0.9169054441260746,ipvelim,IPV elimination (RR = 1.80),65.3644025780863,0.18729055179967422,lasso
0.45,360,0.45056320400500627,349,1,ipvelim,IPV elimination (RR = 1.80),74.43706293706296,0.21328671328671336,lasso
0.5,400,0.5006257822277848,349,1,ipvelim,IPV elimination (RR = 1.80),78.87616099071208,0.22600619195046442,lasso
0.05,43,0.05381727158948686,42,0.12034383954154727,mh_pkg,Mental health package (RR = 0.70),12.6,0.03610315186246418,lasso
0.1,80,0.10012515644555695,79,0.22636103151862463,mh_pkg,Mental health package (RR = 0.70),23.700000000000003,0.0679083094555874,lasso
0.15000000000000002,121,0.15143929912390489,120,0.3438395415472779,mh_pkg,Mental health package (RR = 0.70),36,0.10315186246418338,lasso
0.2,162,0.20275344180225283,161,0.46131805157593125,mh_pkg,Mental health package (RR = 0.70),48.300000000000004,0.1383954154727794,lasso
0.25,201,0.25156445556946183,200,0.5730659025787965,mh_pkg,Mental health package (RR = 0.70),60.000000000000014,0.171919770773639,lasso
0.3,244,0.3053817271589487,243,0.6962750716332379,mh_pkg,Mental health package (RR = 0.70),72.90000000000002,0.2088825214899714,lasso
0.35000000000000003,283,0.3541927409261577,282,0.8080229226361032,mh_pkg,Mental health package (RR = 0.70),84.6,0.24240687679083092,lasso
0.4,321,0.40175219023779724,320,0.9169054441260746,mh_pkg,Mental health package (RR = 0.70),96.00000000000001,0.2750716332378224,lasso
0.45,360,0.45056320400500627,349,1,mh_pkg,Mental health package (RR = 0.70),104.70000000000002,0.30000000000000004,lasso
0.5,400,0.5006257822277848,349,1,mh_pkg,Mental health package (RR = 0.70),104.70000000000002,0.30000000000000004,lasso
0.05,40,0.05006257822277847,40,0.08733624454148471,ipvelim,IPV elimination (RR = 1.80),7.741935483870965,0.01690378926609381,phq9_10
0.1,80,0.10012515644555695,80,0.17467248908296942,ipvelim,IPV elimination (RR = 1.80),14.42622950819672,0.03149831770348629,phq9_10
0.15000000000000002,120,0.15018773466833543,120,0.26200873362445415,ipvelim,IPV elimination (RR = 1.80),26.73575129533679,0.058375002828246265,phq9_10
0.2,160,0.2002503128911139,160,0.34934497816593885,ipvelim,IPV elimination (RR = 1.80),37.39463601532569,0.0816476768893574,phq9_10
0.25,200,0.2503128911138924,200,0.4366812227074236,ipvelim,IPV elimination (RR = 1.80),45.20123839009289,0.09869266024037748,phq9_10
0.3,240,0.30037546933667086,240,0.5240174672489083,ipvelim,IPV elimination (RR = 1.80),52.5,0.1146288209606987,phq9_10
0.35000000000000003,280,0.3504380475594493,280,0.611353711790393,ipvelim,IPV elimination (RR = 1.80),63.664459161147946,0.1390053693474846,phq9_10
0.4,320,0.4005006257822278,320,0.6986899563318777,ipvelim,IPV elimination (RR = 1.80),71.93798449612405,0.15706983514437564,phq9_10
0.45,360,0.45056320400500627,360,0.7860262008733624,ipvelim,IPV elimination (RR = 1.80),80.68965517241375,0.17617828640265012,phq9_10
0.5,400,0.5006257822277848,400,0.8733624454148472,ipvelim,IPV elimination (RR = 1.80),89.92248062015507,0.1963372939304696,phq9_10
0.05,40,0.05006257822277847,40,0.08733624454148471,mh_pkg,Mental health package (RR = 0.70),12.000000000000002,0.02620087336244542,phq9_10
0.1,80,0.10012515644555695,80,0.17467248908296942,mh_pkg,Mental health package (RR = 0.70),24.000000000000004,0.05240174672489084,phq9_10
